epoch,accuracy,loss,val_accuracy,val_loss
0,0.24988394975662231,2.076993465423584,0.006022281479090452,2.09509015083313
1,0.0889173150062561,2.0529985427856445,0.13072176277637482,2.08039927482605
2,0.19488193094730377,2.056442975997925,0.15313102304935455,2.072221279144287
3,0.20970414578914642,2.0433003902435303,0.1578029990196228,2.0674169063568115
4,0.21214015781879425,2.014705181121826,0.15770219266414642,2.058868169784546
5,0.2131241261959076,1.9945199489593506,0.14484937489032745,2.047161340713501
6,0.1933622509241104,1.9654197692871094,0.13980790972709656,2.024552822113037
7,0.19383125007152557,1.9397109746932983,0.14478081464767456,2.010331392288208
8,0.19082412123680115,1.9077465534210205,0.1435595452785492,2.0043225288391113
9,0.19120794534683228,1.8987120389938354,0.16620337963104248,1.968896746635437
10,0.203563392162323,1.894506812095642,0.1507641226053238,1.9657405614852905
11,0.2037356197834015,1.8622897863388062,0.16468438506126404,1.9238615036010742
12,0.21821990609169006,1.8383722305297852,0.1452013999223709,1.9356111288070679
13,0.2202468067407608,1.8108328580856323,0.21567445993423462,1.8363205194473267
14,0.24349544942378998,1.7901949882507324,0.2602978050708771,1.7996400594711304
15,0.2590305209159851,1.7640211582183838,0.33830726146698,1.7825950384140015
16,0.28226155042648315,1.725274920463562,0.3604997992515564,1.8226501941680908
17,0.2580334544181824,1.7537263631820679,0.31390008330345154,1.8375457525253296
18,0.23029625415802002,1.736704707145691,0.2921186685562134,1.8798398971557617
10,0.20384807884693146,1.8624446392059326,0.1643526256084442,1.924362063407898
11,0.2180934101343155,1.838844895362854,0.14904947578907013,1.927425503730774
12,0.22070007026195526,1.8093740940093994,0.21500509977340698,1.8365371227264404
13,0.23780246078968048,1.789023995399475,0.2603546380996704,1.805527687072754
14,0.23755425214767456,1.7775237560272217,0.31632500886917114,1.7811520099639893
15,0.23734335601329803,1.7630943059921265,0.34169676899909973,1.7395683526992798
16,0.2735363245010376,1.7290328741073608,0.35782164335250854,1.7340691089630127
