epoch,accuracy,loss,val_accuracy,val_loss
0,0.3379955589771271,1.5567409992218018,0.4175596833229065,1.5636272430419922
1,0.33926916122436523,1.5404541492462158,0.4319344460964203,1.5405514240264893
2,0.3582809865474701,1.4908688068389893,0.43342697620391846,1.5017199516296387
3,0.3600096106529236,1.4710898399353027,0.4415828287601471,1.4887173175811768
4,0.36849290132522583,1.4443894624710083,0.43505918979644775,1.4954553842544556
5,0.37568244338035583,1.3961660861968994,0.4464107155799866,1.4286720752716064
6,0.3812125027179718,1.3584370613098145,0.43457987904548645,1.45113205909729
7,0.3885628879070282,1.30380117893219,0.4464745819568634,1.4277416467666626
8,0.40158531069755554,1.24607515335083,0.46199268102645874,1.3839781284332275
9,0.41132262349128723,1.2154061794281006,0.46629342436790466,1.3601069450378418
