epoch,accuracy,loss,val_accuracy,val_loss
0,0.1094842329621315,2.078383684158325,0.024065189063549042,2.1205806732177734
1,0.11816155165433884,2.0657269954681396,0.024065418168902397,2.145045518875122
2,0.11871461570262909,2.05930495262146,0.032591838389635086,2.174398183822632
3,0.16513299942016602,2.0516037940979004,0.06445050984621048,2.2363717555999756
4,0.1525735706090927,2.0651187896728516,0.05259052291512489,2.231318950653076
5,0.21756786108016968,2.034426212310791,0.04288620129227638,2.246842861175537
6,0.229929581284523,2.0085291862487793,0.05112273991107941,2.3141703605651855
7,0.2727068364620209,1.987146019935608,0.05242425948381424,2.3353374004364014
8,0.2879927158355713,1.9604783058166504,0.06731945276260376,2.318812608718872
9,0.309645414352417,1.894565224647522,0.07077724486589432,2.4488325119018555
10,0.31307360529899597,1.8321471214294434,0.039105188101530075,2.451599359512329
11,0.25897419452667236,1.9396666288375854,0.07244066148996353,2.2918334007263184
12,0.2761421203613281,1.8797377347946167,0.04585659131407738,2.2776050567626953
13,0.12467110902070999,2.0458168983459473,0.07327978312969208,2.257044553756714
14,0.273141086101532,1.8911808729171753,0.061898957937955856,2.2561533451080322
15,0.3218846619129181,1.7888320684432983,0.02098127454519272,2.3986518383026123
16,0.1602305918931961,2.0203263759613037,0.06826568394899368,2.235048294067383
17,0.3177714943885803,1.8145865201950073,0.029058722779154778,2.5018696784973145
18,0.19467978179454803,1.9324759244918823,0.044793758541345596,2.2122409343719482
19,0.33885231614112854,1.7679083347320557,0.07004246115684509,2.4148552417755127
20,0.2701485753059387,1.8358526229858398,0.039098795503377914,2.270673990249634
21,0.27133190631866455,1.8037298917770386,0.047872237861156464,2.2785184383392334
22,0.2620002031326294,1.8061965703964233,0.047284677624702454,2.2723255157470703
23,0.26859626173973083,1.7728335857391357,0.060605086386203766,2.294093370437622
24,0.2709125280380249,1.7726482152938843,0.04437173902988434,2.278198480606079
25,0.33882540464401245,1.6861244440078735,0.02264573983848095,2.4242191314697266
